Data,Posiłek,Kalorie,Tłuszcze (g),Kwasy tłuszczowe nasycone,Tłuszcze wielonienasycone,Tłuszcze jednonienasycone,Tłuszcze trans,Cholesterol,Sód (mg),Potas,Węglowodany (g),Błonnik,Cukier,Białko (g),Witamina A,Witamina C,Wapń,Żelazo,export_headers.note
2024-01-02,Obiad,595.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,
2024-01-02,Przekąski,4.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.3,0.0,0.0,0.0,0.0,
2024-01-02,Śniadanie,253.8,17.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.6,5.6,0.0,0.0,0.0,0.0,
2024-01-03,Kolacja,166.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,
2024-01-03,Obiad,354.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,79.9,0.9,0.0,6.8,0.0,0.0,0.0,0.0,
2024-01-03,Śniadanie,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,
2024-01-04,Kolacja,459.8,29.8,4.9,3.6,6.6,0.9,415.5,217.5,198.0,37.8,0.0,2.1,24.1,16.5,0.0,9.0,10.5,
2024-01-04,Przekąski,130.0,6.8,3.0,0.0,0.0,0.0,0.0,136.0,0.0,13.8,0.0,11.0,3.0,0.0,0.0,0.0,0.0,
2024-01-04,Śniadanie,537.9,36.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,25.3,0.0,0.0,0.0,0.0,
2024-01-05,Obiad,833.0,38.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,83.2,3.2,0.1,41.4,0.0,0.0,0.0,0.0,
2024-01-05,Przekąski,557.3,22.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,55.5,2.1,2.7,10.8,0.0,0.0,0.0,0.0,
2024-01-05,Śniadanie,443.5,28.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,53.9,0.0,0.6,17.3,0.0,0.0,0.0,0.0,
2024-01-06,Kolacja,720.6,54.0,12.6,7.7,14.7,1.2,554.0,291.1,264.0,40.4,0.0,2.8,32.2,22.0,0.0,12.0,14.0,
2024-01-06,Obiad,612.0,20.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,83.2,3.2,0.1,26.4,0.0,0.0,0.0,0.0,
2024-01-06,Przekąski,206.0,11.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.4,6.8,1.9,0.0,0.0,0.0,0.0,
2024-01-06,Śniadanie,449.9,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,0.0,0.0,26.4,0.0,0.0,0.0,0.0,
2024-01-07,Kolacja,765.6,24.9,1.9,0.0,0.0,0.0,0.0,314.0,0.0,131.9,10.0,12.0,31.2,0.0,0.0,0.0,2.6,
2024-01-07,Obiad,650.0,4.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,124.0,8.0,3.0,26.0,0.0,0.0,2.0,25.0,
2024-01-07,Przekąski,735.1,40.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,74.5,2.1,2.7,16.2,0.0,0.0,0.0,0.0,
2024-01-07,Śniadanie,352.3,22.2,6.8,0.0,0.0,0.0,0.0,0.0,0.0,53.8,0.0,1.3,9.1,0.0,0.0,0.0,0.0,
2024-01-08,Kolacja,1735.9,113.6,25.0,0.0,0.0,0.0,75.0,2850.0,0.0,209.0,5.0,10.0,108.7,0.0,0.0,50.0,50.0,
2024-01-08,Obiad,770.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,153.1,9.5,3.0,26.0,0.0,0.0,2.0,25.0,
2024-01-08,Przekąski,373.6,20.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,40.2,2.6,2.7,7.8,0.0,0.0,0.0,0.0,
2024-01-08,Śniadanie,501.9,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0,25.3,0.0,0.0,0.0,0.0,
2024-01-09,Obiad,338.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,2.1,0.0,17.1,0.0,0.0,0.0,0.0,
2024-01-09,Przekąski,651.0,28.3,9.1,0.1,0.0,0.0,0.0,1.2,429.6,83.6,2.4,38.9,15.3,0.4,19.5,0.7,5.3,
2024-01-09,Śniadanie,490.6,35.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,
